Review,Score
"If you like sci-fi books and movies, this movie is definitely for you. Action, sentimental and overall an entertaining movie.",4.5
"This film was a great watch. I'm amazed by the difference between critics and a normal viewer, I expected a rubbish terrible film, yet what I got was a funny, well written story with some great actors and performances.
I actually truly enjoyed electric state. Well worth a watch and if you like sci fi then even better ",5
Very grateful movie I loved how the story catches the attention and actually makes since and the lil robots and Mr peanut was amazing 🥲 all the way through and loved the color and just was a long waited movie for me I miss movies like this ,5
"I'm a sci-fi fan and enjoyed lots of the MCU, but this was just visually expensive trash. It's like someone plugged the premis into an AI and threw money at it. It has the plot and dialogue equivalents of a poor quality machine generated image with wierd bits missing.

American films can tend to dumb down any emotional and intellectual content, but this was just sad knuckle draging cringe. It's best watched with the sound off so you can enjoy the visuals without getting traumatised by the awful the storyline, blatant plot holes, lame dialogue and sentimental nonsense.",1
"This movie did exactly what all movies should do. It entertained from start to finish. It was funny and emotional. Critics take movies too seriously, enjoy a movie for the entertainment it offers and you won’t be disappointed. ",5
"I am beginning to think that I am going to watch every crap reviewed movie critics give.  They were way off on this one.  This was a fun movie with a unique concept.  Definitely in agreement with the other movie watchers.  Check it out for yourself.  Solid performance from Chris Pratt and the crew.
",5
"Funny the disconnect between ""official"" reviews and normal people.  Not sure if they expect everything to be groundbreaking, but simple songs resonate for a reason.  I thought it was a good watch, great acting and voicework, and an emotional story.  Movies are supposed to make us feel, be emotional and think about being better.  This checks those boxes.  ",5
Idk what the critic are on. Yall need to take a chill pill and have some fun. its such a fun movie to watch lol. Yall too serious for this.,5
I thought it was a fun movie with a cool concept!  Very enjoyable and I’d watch it again:),4
"Nice 👍🏽 movie very good performance 
I am enjoying so much ",5
"Critics got this one wrong — super fun watch. A few solid laughs, fun story, and it pays off in the end. I think people take for granted how hard it is to make a movie this good. Great cast too. ",5
"Highly entertaining, cool world and awsome speciall effects. I really liked it.",5
"Went in with low expectations based on the reviews, but it was better than I thought it was going to be.  It was riddled with plot holes and character development was limited but it has good actors and good acting.   Overall I thought it was an entertaining movie and worth the watch.",3.5
"I went in expecting to turn this off after the caneing it got on a few of my favorite utube reviewers but i dont get all the hate, i enjoyed Electric State sure it has a few faults but as far as good entertainment goes it was fun ,the robots are great and i really liked some of them the cgi is top notch guess thats where a lot of the money went .The story meh but just sit back relax and enjoy some light hearted action scfi.",4
"The Electric State is an expensive giant blob of garbage. With a cool concept and neat looking robot designs you think this movie would be a hit right? Turns out the story is the most generic, forgettable thing you could lay your eyes on. The film tries to hit you in the feels and build sympathy for these characters, but it doesn’t help when the film is overstuffed with poorly timed comedic jokes, and a cast that is filled with unlimited talent but just comes off as underwhelming. I love the Russo brothers and the production that went into this movie, but if this is the kind of slop they are going to deliver going forward, I will be heavily disappointed. Some fun moments here and there but I can’t recommend this movie",1.5
"⭐️⭐️⭐️⭐️⭐️ (5/5)

The Electric State is an incredible sci-fi movie with amazing visuals and a heartfelt story. Millie Bobby Brown does a fantastic job, and the world feels both mysterious and beautiful. It’s got action, emotion, and a unique style that pulls you in. Definitely worth watching!",5
This is a must see.  All the critics here are out of sync.  To the writers it would have been nice to see the start being a movie in itself.  Would have a Terminator vibe with AI and the real world.  I love it and can get into the concept of a brain uploading into a robot.  Enough said just open your mind a bit ,5
"It's not as egregiously dumb as I was led to believe, but #TheElectricState doesn't quite raise the bar for robot-AI films either. It looks pretty (and should given its reported budget) & at least has a cohesive storyline. But otherwise it's as paint by numbers as you can expect.",1.5
I am now a rotten tomato critic. This movie sucked ass. I got mad watching this.,0.5
What is wrong with the critics? This was a great movie. Great scenery. Great acting by entire cast. Much better than recent movies at the theater.,5
Excellent family friendly movie. A story with heart and great visuals. If you are a sci-fi fan you'll love it. Great alternate time-line story set in the 1990s. ,5
I've read the book and it was much darker and more sinister which really stood out so I thought the movie would be just as good and unfortunately and I know that sounds weird but the movie was too upbeat and happy for the dystopian source material I think the special effects was well done but the cast was just distant not emotionally connected,2.5
"A Mesmerizing, Emotional Masterpiece That Critics Clearly Missed. (No Spoilers Review)

The fact that the critics don’t see this as a good movie is the exact reason they are out of touch.

It’s rare for a film to feel both intimate and epic, personal yet vast, but The Electric State pulls it off effortlessly. The Russo brothers have delivered a visually breathtaking, emotionally resonant journey that critics, in their rush to nitpick, have somehow failed to appreciate.

Let’s be clear, this film is not just another sci-fi blockbuster. It’s a story dripping with heart, anchored by Millie Bobby Brown’s phenomenal performance. Her portrayal of Michelle, a girl navigating a decayed, retro-futuristic America alongside her endearing, lumbering robot companion feels raw and real, pulling the audience deep into her personal odyssey of loss, hope, and survival. There’s an undeniable emotional weight here, a haunting loneliness that lingers long after the credits roll.

Visually? Stunning. The world-building is top-tier, seamlessly blending nostalgic 1980s aesthetics with eerie dystopian landscapes. Every frame feels meticulously crafted, bursting with painterly compositions straight out of Simon Stålenhag’s visionary artwork. The cinematography immerses you in a world that’s both beautiful and tragic. It is something today’s critics seem to take for granted.

The tension builds naturally, the set pieces feel earned, and the film respects its audience enough to let emotion drive the stakes rather than mindless spectacle. It is chillingly atmospheric, pulling every scene together with an emotional undercurrent that grips you at your core.

So why the lukewarm critical response? Because too many critics today seem to mistake loud for good and fast-paced for well-made. They ignore a film’s soul in favor of artificial pacing demands, and The Electric State refuses to dumb itself down. Instead, it’s a deeply human story wrapped in an otherworldly setting. One that trusts its audience to actually feel something.

Ignore the critics. This is cinema at its most poignant, a film that deserves to be experienced on the biggest screen possible. If you’re looking for mindless spectacle, go elsewhere. But if you want a movie that will stick with you, one that blends breathtaking visuals with genuine emotion, The Electric State is a journey worth taking.

Final verdict? A modern sci-fi classic that will age far better than its early naysayers.",5
"This movie is amazing the acting the plot everything it’s my favorite one it has all the emotions, I rate it a 10/10",5
"Whoof.  If you're tired of studios pushing out terrible ""content"" like this nowadays, look to the audience who have such obviously low standards such that they accept this tripe.  ",2
If the audience had any idea what they were watching this would get 20% max. What a terrible attempt to make anything out of the electric state. Chris pratt?? really? if you have never heard of the electric state you don't know what you are missing. it's like watching a new star wars movie you'd think it's bad because they are but if it was your first movie ever with no contect you may give it a 6/10 still bad but not as bad if you have any idea what you are watching. ,1
"I really don't understand the hate of the critics towards this film but I definitely enjoyed it. The back story of the robots, the over all story, the characters especially chris pratt and his friend robot, for me they were the ones that i enjoyed watching their interactions. I was just kinda surprised about the budget when i saw it and think they could have extend the story more but over all it didn't affect my enjoyment of the movie. Definitely recommend watching it",4
"I saw this recommended on Netflix and never heard of it before. I didn't even look at who the stars were. I am surprised that I recognized the main female actor because SHE can act. That is the only reason why I gave this 1 star. She is amazing. (Can't remember her name - just know her from Stranger Things.)

This started off very strong and then...what happened...not much. None of the characters reached out to me. The story was really just a short story. I was so bored that I had keep pausing it after 10 - 20 minutes or I would lose interest and forget what they just said and had to rewind it.

I am now very wary of anything recommended for me on Netflix. I haven't found much of actual interest.",1.5
"I enjoyed the movie.  Not sure why the critics are so harsh but hey I do not look too critically at movies like I am tasting a wine and trying to find all the notes.  The only thing I wished there had been more of was humor, Chris Pratt brought it as usual but the film could have used more.",4
The movie was watchable and fun battle scene though. The start was a little out hand but it does have great outcome. ,3
"Es original, da un mensaje potente y entretiene",4.5
I don't know why the critics hate this movie so much - I enjoyed it - I found the actors compelling to watch and the story was interesting! Don't let the bad reviews put you off... ,5
"Tem umas partes muito ruins, aquela com o pai adotivo é muito chata, os personagens são rasos e há uns diálogos expositivos chatos e o roteiro perde peso ao desfazer os sacrifícios que os personagens fazem. Mas tem uns momentos legais e uma história ok. É mediocre. Não é o melhor filme do mundo como alguns disseram, mas não é o esgoto radioativo que a critica está dizendo.",2
The ai in the movie is apparently in it.. but I had fun watching it. It a good movie. ,3.5
"Not as bad as some are making out. After a long difficult day at work this was just right. Not overly taxing or thought provoking. The dialogue, delivery and direction were a little flat. Great visuals. Didn't learn anything about myself or the universe. Aimed at a younger audience. Chris Pratt raises the level. ",2.5
I am just amazed how the actors in this thing are more one dimensional and less interesting than their robot counterparts. It is as if the actors were told to be no more than props in service to showcase some cool graphics,0.5
I personally enjoyed the movie. The effects were amazing and the visuals were wow! The story line was interesting and i love the underlying message. It’s funny/silly whilst being a reflection of today’s society. The two leads are amazing and the voice actor of the robots are incredible. ,4.5
Best film I’ve seen in a long time time. Soak it up and enjoy. ,5
I’m a fan of Chris Pratt but this movie was very predictable and the script seemed like it was written by AI. ,2.5
"Truly unwatchable. I'm surprised that they can't make a film that tells a story without resorting to noisy, chaotic unassembled jumble of scenes. What a disappointment. ",1
"Tiene buenísimos efectos especiales, los diseños y atmósfera están bien logrados. Lamentablemente los diálogos son bastante planos, lo cual afecta enormemente a los personajes, ya que algunos logran ser interesantes, pero no únicos. Esto esto da la sensación de un reciclaje hecho por inteligencia artificial que le resta muchos puntos.

Cómo sea es disfrutable para ver en familia o para aquellos amantes de las historias steampunk futuristas.",3
"It was amusing enough.  The special effects were really good, giving this world where robots coexisted with humans a sense of scale and reality.  It had some fun action sequences and neat visuals.  Some of the character interactions were fun to watch, especially between Chris Pratt's character and his robot side-kick.

The biggest weakness of the movie is how derivative it is.  Everything seems like it has been done better in another movie, and the casting is so on-the-nose.  Chris Pratt plays a Chris Pratt type character, Stanley Tucci plays a Stanley Tucci type character, Ke Huy Quan plays a Ke Huy Quan type character, Millie Bobby Brown plays a Millie Bobby Brown type character...it was almost like the entire movie was written and cast by AI.

I didn't hate it.  It is entertaining fluff, with some good production design, and cute characters.  But that's about it.

 ",3
Baby Herman is my favorite part,5
Just boring…what a waste of a movie,1.5
Pretty bad for me.  Seems like an AI developed the script and scenes.  My famlity watched it together so I had to sit through the whole thing.  Given a choice I would have stopped watching it personally.,1
"Masterpiece for me. First of all, the story flow is good. Second, the details of how the robots are made. Some people say that they are ""ugly when made with robots"" and ""colorless"". They didn't think about the theme of the robots. [1, it's been too long since they've finished the war. 2, the robots have been neglected so the colors are just lifelike, and they look rusty.] Third, to the performers. Chris Pratt, still acting flawlessly. He still brings a little comedy to his character, and for the others who are acting, there is just a little disappointment. But it's okay because some scenes are overdone. This is good for friends to watch. As for children, parental guidance is still needed. 👏🏼👏🏼👏🏼 (standing ovation) 👏🏼👏🏼👏🏼",5
These movie is not the worst movie ever made but I think it was a good film i wish it had less AI but the plot was the real reason i continue watching it was so interesting ,3
Ignore the bs critics. It's a good watch with a good story. My kids enjoyed it as did the rest of the family.,4.5
It’s underrated it has great fight scenes and the final battle was amazing good acting as well ,5
"De verdad no puedo entender a los supuestos críticos de cine que solo sirven para defenestrar una película que es bastante divertida y agradable de ver, eso me convence más y más que la crítica especializada solo son grupo de viejos amargados a los que no les gusta nada a menos que sea una porquería como Emilia Pérez.  La película cuenta una historia que poco se ve hoy en día, de amor fraternal donde una chica quiere salvar a su hermano y en el camino conoce personas y robots valientes que la ayudarán en su cometido. Los personajes robóticos son simpáticos y agradables, Millie Bobby Brown hace un muy buen papel donde demuestra que no solo es la niña psíquica de Stranger Things, siempre es un placer ver a Chris Pratt salvando el día, de verdad me gusta mucho su personaje en esta película. 

En conclusión la recomiendo mucho si quieres pasar un buen rato en familia.",5
It was cute and funny but the whole premise is kind of dumb. Also main lead looks way too old to be in high school.,3
"Netflix you've done it again.  They have basically become an agent for why theaters need to stay in business.  Streaming services cannot make movies, case in point.  It's the bargain box of movies at walmart. I don't know exactly why this doesn't click for me, but I have some ideas. I think the story is disjointed, we don't really care about the characters except for HRM.  The robots and the effects are cool, but it just doesn't flow well.   Honestly Millie Bobby Brown was a bust in this, this might confirm she's just not a good actor or maybe simply this was not the role for her.  Is she only good in Stranger Things because she says little and just makes faces?  Either way, very disappointing but par for the course for Netflix.",2.5
"I really enjoyed this - thought the visuals and music were great, and the story engaging!",4
"Just honestly a complete waste of time and money. All around just a bad and uninteresting movie…and it’s a shame. 

The world is uninteresting and bland with rushed exposition and the character motives are equally so. 

The cast makes attempts, but fall flat and the overall self serious and yet “funny” tone clash constantly. Visuals are adequate but again, just nothing special. It took me three viewings to finally get through it and that’s ultimately the worst offense. It’s a slog and just not an enjoyable film to view.",0.5
"This movie was so ho-hum it is laughable.  It started out strong for the first ten minutes or so, when it did its montage to get the viewer up to speed on the world created in the movie, but after that it descended into mediocrity.  The Russo Brothers basically hired Pratt, input some Guardians of the Galaxy type music, and made this a mediocre Marvel movie.  This is one of the few times I totally agree with the  Critics.  It had no original vision to offer, all the dialogue and characters were 1-dimensional as could be.",0.5
"Some nice ideas. Mostly a discombobulated mess. 

Imagine someone taking scripts from, say, Galaxy Quest, Short Circuit and other such movies.
Then using an early chat GDQPTSTRSSHVXAE loaded on a Commodore 64k 1980's games console and ordering it to write, direct and act in it.

I just hope this is not supposed to be a metaphor for servile races coming to age, through the ages. If it is, this is truly not worth the ash of a one star rating.

FInal thought....I liked the Mr. Peanut character.",1.5
"Cute little movie.  Nothing earth shattering or something that will stay with you down the road but not a bad waste of a couple of hours.  Much better than a lot of the crap that is produced these days.  Sure, the robots might have been the most engaging characters in the film but . . . it is what it is.  The world building wasn't bad but could have been fleshed out a bit more.",3.5
"This was one of the most disappointing movies I’ve seen lately. I love the source material and I recommend that if you also enjoy it, go check out Tales from the Loop and hard pass on this AI written slop. ",0.5
Me deixou um pouco perdida mas eu adorei os efeitos visuais e atuação não deixou muito a desejar,3.5
Chris Pratt is the most entertaining actor in Hollywood today. Another great movie. Can't trust critics when it comes to comedy. ,5
"The critics are dramatically insane! The Electric State is a fun movie with a great soundtrack! I now have ""I Fought The Law"" by The Clash stuck in my head. 😏",5
"Really enjoyed this movie, don't understand why some of the negative reviews, people just need to stop being so negative and uptight ",5
"Personally, we thought The Electric State was an incredible movie with a very timely message for the current digital age we are living in. An enjoyable experience from start to finish filled with plenty of heart, humour, comraderie, and emotional stakes. Well done to the cast & crew for their effort, we're happy we gave this a chance. The movie did not disappoint!",5
I really enjoyed it. It made for a good laugh.,5
"A great film to watch with the family on a Saturday night. Kids will love this. I don’t understand the negative reviews. Lots of action, good acting with cute robots. ",5
"Boring garbage, bad dialogues, bad acting, seems like actors felt ridiculous and we sense it. Not for children but too childish and boring to be for adults. Forces you to fastforward many scenes, what never happened to me with S-F film.",0.5
"Bad , give me back my 2hrs , horrible acting and no chemistry at all",0.5
Did they really spend three hundred million dollars to make this film? The price tag boggles the mind for a streaming film. Critics have been very unkind to the movie but I think us regular folks will enjoy it. It's not the best film by far but it's also not the worst. ,3
"Movie is absolute garbage. Should be taken off all platforms and forgotten. 
If I could rate it a zero, I would. And that's being generous",0.5
"The movie uses generative AI.
That allone is a nogo.

I really liked the Art Book this movie is based on, but the movie is nothing compared to it.
Doesn't give the vibe at all. Not the same mesage.
Just another movie like so many more.

Worthless",0.5
"The critics are right this time. Hard to believe that these hollywood big shots came together and spend so much money on the worst movie of the year. 

I now know why some studios cancel movies even after spending so much money. Some movies are never meant to be released.",0.5
I don't understand all the hate. Watched it with my kids (16 & 20) and we all really enjoyed it. Had some great music and a few laugh out loud moments. ,3.5
"The movie isn't bad. It plays out like a summer blockbuster, with action and lots of special effects. It's not a bad story. 

My big problem with it is that Simon Stalenhag's The Electric State, 2018, is a FAR more compelling and terrifying story. There are hints of it here and there in the film. Lifeless people with headsets on, so hooked into the system their mouths hang and fingers twitch, but no one is home. Crumbling ruins of civilization. The war backstory.

In the book, everyone was slowly sapped into the terminals, leaving their bodies kept alive barely by the sentry headsets. And the machines themselves are slowly melding together to form something unknown.

The movie looks almost as if they started out filming it closer to the book ... then changed to the more marketable popcorn movie we got.

It's not a bad movie. But the book is more cerebral, scary, and thought providing to the point the movie feels ... Disappointing. It's nothing like the book at all aside for asthenic and the name. ",3
"I think critics have become so disconnected with life and just simple enjoyment, movie watching used to be an escape, 2 hours freedom from reality. We could let our imaginations have fun and find our own connections with characters in stories now it’s about finding ways to find flaws in everything and everyone. Was this movie amazing no but it was fun and interesting and worth the watch absolutely yes it was! To think all the bad “important critics reviews” almost had me shy away from watching is sad but now I'm starting to avoid so many more critics and giving them my views with hope these depressed individuals will start to slowly disappear and have no voice that can ruin others hard work.",4
CGI is great. I love Chris Pratts interaction with the robots but story isnt great. I wouldnt watch it again. ,1.5
"Going in my biggest concern was the movie was going to try and take itself seriously. Sadly, it does. There's plenty of nostalgia and CGI combined with a laughably overly dramatic soundtrack, all desperately hoping to distract you from bad writing, bad acting and overall lazy, lazy filmmaking. 

This makes most of the mindless garbage that comes to theaters seem like a vintage Disney classic by comparison.",0.5
"Not a bad movie the acting and cgi are good,  but the movie dragged in spots. Would still recommend watching. ",3
I thought it was good. Pratt is excellent too,4
This movie is a fun family watch. It’s really funny!,5
"Yet again another reason you shouldn’t listen to critic reviews. Me and my girlfriend LOVED this movie. 90’s nostalgia PEAK, this was a fun ride, funny moments, a little cheesy on the emotional stuff but in a good way. Perfect for a pizza night with your girl.",5
"Filme genérico, não justifica o valor de produção e da pra assistir no 2.50x sem perder nada do filme.",1
"Could not even finish it in the comfort of my home. Really? Who wrote this silliness? A 7 yr old? (ok, did not mean to insult 7 yr olds......)
Cartoonish without the fun part. And they spent a fortune on it! Who directed that?....the Kardashians? 
",0.5
"Admittedly I was 3 sheets to the wind when I saw it and I fell asleep for about a third of it, but what I saw I liked and I always know what I like.
So there.",4
"this movie is based on the work of simon stålenhag. That being said, its a good movie because it respects the story behind it, that also means its light weight story and you should expect something in that direction, not a revolutionary movie, but a funny easy to see and also visual intriguing since the author has a very unique vision of the future. If you liked it, there is also tales from the loop which is a another work from him",5
"Cute movie with an interesting premise, good acting & cast, and a final act that just DRAGS. The pacing of the story was great up until the final act where it slows down to a crawl. It really made it a chore to finish because I had grown attached to the characters and the plot, but it was a story that could have been told in 1hr 45 or even 1hr 30min. ",2
"It's a fine movie, visually it's wonderful and it pops when it needs to.
It's not a movie that's meant to make you think, and it's message is fairly clear. Give it a watch, enjoy the ride, enjoy the nostalgia and have fun.",3.5
"An enjoyable story, not boring, it's a joy for sci-fi fans, exploring and commenting on virtual reality and society without sermonizing. The plot moves along with a few glitches and voila, you have enjoyed your time.
Praise for ""the Stranger Things girl"" portraying her character convincingly. ",3.5
"I had a hard time maintaining my interest in this one. It took a couple of days to finish. Lots of ingenious effects. Great scenery. Storyline muddled. Main players did well. Touching brother and sister story in a post robotic apocalyptic world and being ""adopted"" by a would-be big brother along the way. The reported $300M production cost doesn't really show on the screen and it's always amazing how such projects and budgets get green-lighted by Netflix. Some of their standard players and creative contributors from other projects are also present for this one--to varying results.",3
"Disclaimer: I am not a fan of sci-fi movies, but this one changed my mind.

Dystopian, Heartfelt, Nostalgic, Goofy all wrapped in to one movie. 

I felt like the acting was pretty good and script was sharp. 

Don't listen to the negative reviews from top critics, they are just bitter.",5
"Extremely boring, story was very weak from the start and couldn't get pass the first half hour, switched to HBO.",1
"It was a really good movie!!! Really recommend it to watch, probably one of my favourite. ",5
"Don't listen to the critics. This had a good story, a bit of heart, and was well put together. There was a good message about unplugging and living life. I really liked it a lot. Go watch it, it's worth it. ",5
"A great family adventure about friendship, family, and connection.   Funny, heartfelt, adventurous with a wild assortment of characters.  Totally underrated. ",5
Chris Pratt showed up in this movie just in time to make it totally not suck. The emotional energy fell flat. Chris character was the best by far. The soundtrack was good and a couple of the bots were fun but the brother/sister connection just didn’t really sell. Thanks Chris Pratt for being awesome!! Lead with this guy next time Russo brothers. ,3
This movie is terrible ,1.5
Absolutely brilliant plot with a theme that is scarily close to our current time. There were some cringy parts and had a slow starting but the ending battle was great.,5
"Boh, a me è piaciuta particolarmente la realizzazione, l'impiego di Esposito, Brown, Prat......Mackie....., 🔝 

La storia forse un po' così così.....scontata.....ma ambientazione 🔝",4
"C’mon. This wasn’t that bad. Nice characters, a decent baddie and… ROBOTS! Really cool robots! I don’t know how or why some people were confused by this movie. It was pretty straightforward. It was a little like Ready Player One, but not as fun. And they spent waaay too much money making it. But an enjoyable flick.",3
"I mean….If you have the brand deals, special effects, and actors….Who cares about a stupid plot anyway?

",0.5
"This movie doesn't scream best movie of 2025, but the critics are being a little harsh. The movie was very well put together and the only downfall was the ending. ",4
"I grew up an electric state fan, playing inspired video games online. This blockbuster budget has all the special effects to match, the robots even felt landed and real in each scene.

But the story was so without a real heart or inspiration, when it would muster up a nostalgic memory it felt like they ticked it off their to-do list.

It's worth an evening, but not an amazing one. Props to acting, music, sound and vfx but your writers let you down.",3.5
Honestly one of the best 2025 movies!,5
"The production design is truly unique! The general plot is fairly imaginative as well, which makes the whole film a refreshingly original experience. These days, original is rare, which is why i wish more movies like this were being made.",5
"I thought the movie was fun to watch, had a little slow part every once in awhile, but more fun to watch than most shoot 'em ups. Great ending and good commentary on the state of our world even now.",5
"An eerie, captivating science-fiction illustrated book turned into an overstuffed, way-overpriced Russo Brothers CGI fest.",1
"Nowhere near as bad as what the mentally challenged critics say. I have seen some rotten movies and this one is nowhere near that bad. In my opinion 15% is like you hate a movie. Where is this one is a solid meh 55 percent 60 maybe. It was definitely super predictable. The ending was dumb. But the special effects were good and there were some pretty decent laughs here and there. When the guy said he had the twinkie sweats about laughed milk out my nose. But the story line was somewhat derivative in my opinion. But definitely not 15%, that's like a rating you would give a movie with really terrible acting and the worst direction with really crappy special effects. Like a really crappy '80s B movie. And I got to tell you I've seen these same critics praise movies that are really garbage. So who knows maybe somebody sold them some dirty crack to put in their crack pipes.",3
"Very enjoyable, good CGI, creative. ",5
"A bit of information for the review: The Electric State (2018) is a graphic novel by Simon Stålenhag, a Swedish author. It is a beautifully drawn story that follows a young girl and a companion robot exploring a sci-fi alternate USA after a collapse when millions fled into a dream world through helmets that left them as decaying corpses on the side of a road. There are more aspects of the world as well, such as the towering robots, the remnants of humanity still living their lives, and the subtle touch of eldritch horror. It is a melancholic, dark, and moody book.

This movie is an action flick, which barely touches on the themes, ideas, and atmosphere of the original work. It is a big disconnect from the setting that Stålenhag built. This feels less like an adaptation akin to Lord of the Rings and more like the Hobbit movies. It is not as bad as it could’ve been, but certainly not what I would’ve expected.

If this was a standalone film, without a connection to Stålenhag, it might rate higher. It is certainly not bad, like something like the Borderlands movie was. But as it is? I cannot recommended this as an adaptation. ",2
Its better than the critics reviews of 15% with beautiful imagery and CGI - the robots feel real like they could belong in the world. i think that the full potential was not reached - things like what the helmets actually did to the brain- the stakes could have been much higher but in the end its a popcorn watch with a predictable plot,3
"Seriously, why?? Good special effects. Otherwise, why?",2
"The thing about this movie is that for the most of it I was asleep, but from time to time a waked up and watch a short bit, then felt asleep again and so on until the las part of the movie, which I saw, but I understood everything of it perfectly, so that's not so good... I think.",3
Mystifyingly stupid.,0.5
Fun and very enjoyable ,4
I often don't understand the critics but this one is really out there. 15% from critics and 74% for audience. This is a good story surrounded with excellent special effects and ingenious robot creations. Ignore the critics and check it out!,5
"Another generic film, I didn't think it was bad at all, it's a great film to watch on a Sunday night, but for the price spent it should be a masterpiece.",4
Given all the negativity surrounding the film is didn't go into it with high expectations.. fair to say coming out the other end yes it's not the Greatest film of all time but it's enjoyable in a switch off and just enjoy the escapism kind of way.,4
Enjoyed the movie I was expecting a little more considering the  budget. Wasn’t a bad movie  would watch again. ,3.5
The first part is kind of creepy and suspenseful.  The second part is sad.  Entertaining watch.  ,3.5
This movie feels like it was written by a child with the help of a Gen X parent. The relentless amount of plot holes are better food for thought than the movie.,1.5
"I enjoyed The Electric State! I liked the story, the action and the great special effects! ",3.5
"Um filme de orçamento elevado, mais com um roteiro tão raso. Parece ate que fez uma lista de coisas do momento que chama a atenção nas redes sociais e coloraram em tela tudo que poderia ""encaixa"".",1.5
"First of all it's good to see Jason Alexander again, and ke huy quan is an absolute treasure. this movie was boring, lame and forgettable. ",0.5
"It's not just a robot movie; it's a human love movie with many touching parts throughout. Millie Bobby Brown and Chris Pratt carry the flick as its main stars, but Stanley Tucci, as the antagonist, Giancarlo Esposito and Jason Alexander's roles help to give this film more color. Great action movie with enough of a heart-warming human angle, that it gives the movie its touching element. ",5
"Pretty weird how many negative reviews there are.
We all enjoyed it. Fun, different and poignant. ",4
"Not good. Story is very rushed, so much so you really don’t care about any of the characters. It sort of feels like it was an idea for a series that got reduced to a 1:45 movie. A lot of wasted talent went into this.",1.5
"Since conquering the world with Avengers: Endgame, brothers Joe and Anthony Russo have faced a harsh reality: the difficulty of replicating their success outside Marvel Studios. Their post-Ultimatum projects, Cherry and Hidden Agent, were met with a lukewarm reception, revealing the duo's fragility when removed from a previously established cinematic universe. The Electric State, their latest work, appears as their last chance to demonstrate that they still have the ability to tell good stories in isolation. However, the film not only reaffirms their narrative limitations, but also exposes an excessive reliance on easy formulas: nostalgia, blatant references to other works and a superficial appeal to the public.

Based on the graphic novel by Simon Stålenhag, The Electric State was supposed to be an immersive work of science fiction, capable of exploring the relationship between humans, artificial intelligence and technology in an apocalyptic world. The genre has already been brilliantly explored by other films, such as The Matrix and Ex Machina, raising philosophical and ethical questions about the impact of technology on society. However, the Russo brothers choose to reduce these themes to simple subplots and turn the robots into comic reliefs, emptying them of any reflective potential. Instead of a thought-provoking approach, the film is content to be a parade of references to the 90s, using pop brands and elements in an excessively obvious way. The attempt to cover up this dependence is non-existent; on the contrary, the directors make a point of making their influences clear, which ends up diluting any trace of originality in the narrative.

Another major problem with The Electric State is the fragility of its character development. The relationship between humans and robots is shallow, without emotion or genuine impact. The protagonists are constructed in a stereotypical way, and the attempt to forge a family drama doesn't find enough narrative foundation to work. The film especially fails to address the emotional arc of its characters, making the journey an apathetic experience. Millie Bobby Brown tries hard to carry the film, moving well between drama and comedy, but the script doesn't offer her solid material. Chris Pratt repeats his performance from Guardians of the Galaxy, without adding any layer to his character. Even more disappointing is the waste of talented actors like Stanley Tucci and Giancarlo Esposito, relegated to irrelevant roles with virtually no screen time.

On the technical side, the movie has moments of brilliance, but also stumbles. The high budget of $320 million makes The Electric State Netflix's most expensive production, but the investment isn't always reflected on screen. Some visual effects sequences are impressive, while others seem rushed, without the necessary polish. This imbalance suggests that, despite the money invested, the film lacked a director capable of balancing the visual resources narratively. Gareth Edwards, with Resistance, and Takashi Yamazaki, with Godzilla Minus One, have shown that budget is not a determining factor for well-executed visual effects, as long as there is efficient planning right from the shoot. The Russo brothers, on the other hand, seem to rely more on grandiosity than visual cohesion.

The question remains: where do the Russo brothers go from here? Their next big project will be none other than Avengers: Doomsday, and concern is growing at their difficulty in delivering an engaging movie without an established foundation. So far, all his projects outside of Marvel have shown creative exhaustion and an inability to tell remarkable stories without resorting to pre-established formulas. It's possible that his next foray into the Avengers will also suffer from these problems, only finding redemption in the eagerly awaited Avengers: Secret Wars.

In the end, The Electric State had everything it needed to be a great movie: a good basis in the graphic novel, a talented cast and a million-dollar budget. However, the directors took the easy way out, filling the film with nostalgia and references instead of exploring its story in depth. The result is a movie that occasionally entertains, but is superficial and forgettable. Netflix has invested in an empty overproduction that is unlikely to make a mark on the science fiction genre.",2
"ถือว่าโดยรวม สนุก ดูเพลินได้
แน่บทอาจจะไม่ค่อยดีเท่าไหร่
สูตรสำเร็จเดาทางได้ตลอด ",5
"i don't know nothing about the book, i don't know nothing about the ""critics"" who hate this movie. i went in just watching. the story was simple to follow. the androgynous tucci should play bad guys to erase his sissiness for the rest of his life. giancarlo should team up with jon bernthal and play really bad guys forever. the 11 girl is turning into a woman. a G rated film for everyone and well worth the time. watch this.",5
"What a waste of time. Everything in this movie is terrible, specially the plot and performances. I don’t understand the food ratings from the audience. Avoid it!!!",0.5
"I think its a nice alternate Reality Movie. Has Character Development, a Story and good Chars.",5
"First, the dialogue is terrible, but are you really watching this for that? This is a fun no-brainer sci-fi film. Great effects and production design. Sit back and enjoy.",4
"Its a must watch, emotionally touching",5
